;Sample;Material;Li;Be;S;Sc;V;Cr;Co;Ni;Cu;Zn;Ga;As;Rb;Sr;Y;Zr;Nb;Mo;Sn;Sb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;W;Th;U;Ce*;Eu*
0;MA-200975;Ore;28.700;4.150;481.610;7.600;48.120;31.540;7.350;22.970;32.450;143.680;9.850;36.730;101.310;83.280;25.770;36.900;4.760;3.260;1.980;1.600;11.450;697.270;13.560;24.240;3.250;15.860;4.420;1.010;4.850;0.780;4.730;0.960;2.690;0.370;2.400;0.350;1.170;0.360;1.130;5.190;1.640;0.833;1.016
1;MA-200977;Ore;18.610;9.660;262.730;6.270;70.220;36.660;14.530;58.070;30.090;87.710;8.270;43.760;68.960;241.860;53.390;23.290;3.040;35.450;1.310;4.420;8.380;1421.890;31.020;42.300;10.690;52.720;13.540;2.990;14.060;1.970;10.570;1.950;5.090;0.610;3.650;0.540;0.680;0.220;0.880;3.710;2.200;0.520;1.013
2;MA-200978;Oven Slag;19.330;4.800;376.970;7.890;43.840;30.630;32.220;27.710;369.670;25.050;12.750;51.710;70.500;149.470;25.520;264.240;5.440;2.320;2.460;2.240;6.410;817.920;18.820;32.180;4.420;19.180;4.430;0.860;4.720;0.710;4.250;0.850;2.340;0.330;2.120;0.320;7.850;0.470;2.880;6.780;4.080;0.805;0.878
3;MA-200979;Oven Slag;27.490;3.170;238.360;8.740;34.660;27.190;1.600;3.480;24.990;27.920;5.810;0.700;87.030;115.640;25.390;175.660;6.010;0.650;0.980;0.210;7.920;780.070;19.550;34.730;4.550;19.280;4.370;0.910;4.280;0.680;4.190;0.830;2.400;0.340;2.240;0.340;4.820;0.510;0.790;7.110;3.570;0.840;0.986
4;MA-200980;Oven Slag;33.880;4.060;231.150;10.430;41.780;34.950;1.580;2.450;33.510;28.130;6.970;1.030;108.170;135.960;27.450;145.650;6.960;0.770;1.180;0.230;10.720;1050.000;21.770;38.790;4.990;22.630;5.520;1.140;4.810;0.730;4.620;0.960;2.740;0.370;2.730;0.370;4.170;0.610;0.890;7.440;4.120;0.849;1.040
5;MA-200981;Oven Slag;9.690;0.960;176.170;5.100;12.890;16.490;5.360;18.000;12.130;12.870;3.960;3.880;19.430;48.530;14.930;64.000;2.730;0.500;0.970;0.200;1.630;187.930;11.160;16.470;2.210;9.700;2.270;0.510;2.340;0.350;2.280;0.470;1.380;0.210;1.370;0.190;1.900;0.230;0.850;3.020;1.040;0.753;1.035
6;MA-200983;Oven Slag;28.160;10.450;349.270;11.940;60.780;39.620;127.130;247.920;345.920;54.880;10.550;111.890;108.860;253.400;27.750;248.440;7.600;5.300;2.740;3.960;10.630;605.710;26.020;45.300;5.940;27.050;6.100;1.080;5.930;0.860;4.930;0.980;2.840;0.420;2.790;0.430;6.960;0.660;1.580;10.050;8.600;0.831;0.842
7;MA-200984;Smithing Slag;18.700;9.630;3164.080;7.690;34.560;36.380;3.940;10.580;30.630;10.420;5.500;2.570;74.410;113.090;24.560;88.780;5.200;4.210;1.660;1.590;6.210;988.410;21.010;39.990;5.630;19.780;4.680;0.980;4.430;0.740;4.210;0.840;2.330;0.300;1.940;0.290;2.370;0.450;2.370;6.530;2.260;0.837;1.010
8;MA-200985;Smithing Slag;6.450;0.430;314.130;4.330;20.490;15.500;58.670;409.590;60.580;12.210;3.370;53.760;16.280;96.760;7.570;74.630;3.020;4.300;1.460;2.190;0.760;253.030;6.700;10.270;1.430;6.090;1.330;0.260;1.350;0.200;1.240;0.250;0.770;0.110;0.710;0.120;2.210;0.190;0.600;2.300;0.550;0.756;0.908
9;MA-200986;Smithing Slag;10.060;2.140;251.320;5.360;16.650;15.440;71.920;17.120;48.260;22.200;3.700;3.920;53.610;57.410;11.260;70.350;2.940;1.430;1.410;0.750;5.010;250.310;10.080;17.700;2.380;9.500;2.320;0.420;2.080;0.300;1.960;0.390;1.210;0.180;1.190;0.170;1.990;0.260;0.640;4.200;1.370;0.824;0.898
10;MA-200987;Smithing Slag;5.880;0.760;1749.540;2.050;11.440;11.140;0.010;934.440;66.260;17.490;2.460;26.950;11.250;55.770;3.040;18.370;1.010;8.000;1.130;0.770;0.770;246.850;3.160;6.320;0.900;2.970;0.660;0.150;0.580;0.090;0.530;0.110;0.320;0.040;0.300;0.050;0.580;0.090;0.580;0.990;0.400;0.851;1.139
11;MA-200988-1A;Bloom;21.741;11.224;449.865;9.941;46.400;30.200;4.465;1.001;2.071;16.841;6.700;0.190;86.782;229.706;50.082;75.324;5.829;1.612;0.841;;6.965;3382.406;19.865;38.088;4.953;22.300;6.041;1.624;9.188;1.482;9.318;1.924;5.318;0.735;4.765;0.712;2.253;0.494;0.729;5.994;10.053;0.877;0.975
12;MA-200988-1B;Bloom;27.752;12.595;212.767;8.048;32.414;12.510;1.452;0.201;3.024;15.848;7.548;0.310;105.081;251.081;43.210;70.071;6.733;1.281;1.048;;8.500;4003.338;20.238;46.048;5.219;21.957;5.981;1.710;8.486;1.324;7.857;1.571;4.338;0.581;3.667;0.510;1.795;0.443;0.990;5.133;11.538;1.019;1.087
13;MA-200988-2B;Bloom;24.538;10.286;280.833;8.733;58.533;27.643;50.272;17.140;9.548;21.881;8.000;2.775;85.157;196.657;43.124;67.324;5.510;2.067;0.824;;7.148;3148.676;18.786;40.019;4.814;20.710;5.619;1.567;8.186;1.338;7.852;1.638;4.524;0.624;4.057;0.571;1.943;0.429;0.781;5.214;10.043;0.963;1.030
14;MA-200989;Plate Slag;27.550;9.720;235.990;10.380;33.490;27.770;5.500;3.810;29.420;64.000;6.490;0.910;56.960;136.920;58.920;291.210;6.220;0.620;1.340;0.090;5.340;517.110;24.960;44.760;6.440;30.570;7.950;1.690;9.020;1.400;8.760;1.930;5.380;0.750;4.660;0.680;8.420;0.560;0.810;7.730;6.630;0.804;0.928
15;MA-200990;Plate Slag;11.480;1.640;167.610;4.600;11.880;10.340;3.580;3.460;9.450;4.970;3.880;1.490;30.720;51.400;10.320;94.610;2.200;0.330;0.980;0.320;2.710;240.970;7.660;12.470;1.660;7.130;1.720;0.360;1.630;0.260;1.560;0.320;0.940;0.130;0.930;0.140;2.730;0.190;0.450;2.660;0.840;0.797;1.009
16;MA-200991;Plate Slag;5.880;0.390;162.570;2.650;3.290;5.410;14.790;62.420;11.900;5.440;2.910;2.850;9.170;22.260;6.700;47.940;1.060;0.230;0.850;0.200;0.750;63.440;5.260;7.860;1.080;4.580;0.970;0.200;1.010;0.160;0.960;0.200;0.570;0.080;0.540;0.080;1.380;0.100;0.720;1.520;0.420;0.750;0.944
17;MA-200992;Plate Slag;34.160;10.130;290.890;12.130;44.440;36.770;3.800;2.720;18.640;49.160;9.760;1.450;110.110;310.930;33.220;324.420;8.510;1.120;1.540;0.130;11.720;941.290;29.210;51.530;6.830;28.250;6.310;1.170;6.120;0.930;5.600;1.130;3.320;0.460;3.190;0.470;9.140;0.740;1.300;11.670;6.780;0.832;0.883
18;MA-200994;Plate Slag;49.670;8.430;320.490;11.720;34.570;30.840;3.960;4.500;7.140;32.910;6.790;2.670;98.420;103.770;48.980;248.050;7.030;0.630;1.260;0.190;8.800;473.550;25.490;46.340;6.020;26.300;6.710;1.360;7.030;1.140;7.100;1.530;4.480;0.650;4.260;0.630;6.780;0.620;1.000;8.960;6.010;0.853;0.925
19;MA-200995;Plate Slag;37.950;13.020;271.910;13.750;49.090;39.010;11.830;12.360;10.680;72.630;9.000;5.520;102.890;290.390;40.090;133.750;7.490;1.280;1.320;0.140;9.120;555.060;28.830;45.350;5.820;25.380;5.550;1.110;6.030;0.920;5.590;1.200;3.560;0.480;3.250;0.460;4.000;0.660;0.770;7.840;14.800;0.796;0.895
20;MA-200996;Plate Slag;33.370;8.510;391.430;11.330;33.870;31.700;9.140;6.660;26.440;45.940;8.310;3.570;81.130;161.410;55.300;215.000;7.160;0.720;1.630;0.270;7.850;584.640;26.080;46.240;6.150;26.110;6.450;1.370;7.500;1.140;7.230;1.570;4.440;0.590;3.730;0.570;6.180;0.650;1.090;9.060;8.350;0.833;0.914
21;MA-200997;Plate Slag;34.000;12.900;2510.000;11.300;45.000;36.000;7.800;9.400;78.000;281.000;7.300;1.700;104.000;370.000;38.000;122.000;7.600;1.310;2.100;0.100;8.100;350.000;31.000;55.000;7.500;24.600;5.500;1.250;5.300;0.910;5.100;1.070;3.000;0.410;2.740;0.370;2.890;0.590;1.240;7.300;9.800;0.822;1.086
22;MA-200998;Plate Slag;28.620;5.560;288.520;9.940;32.630;21.820;7.900;6.390;53.240;54.530;7.870;3.020;101.930;213.450;29.210;171.010;6.110;1.010;1.510;0.170;9.370;646.970;22.870;39.840;5.250;23.120;5.250;1.050;5.220;0.790;4.790;0.980;2.810;0.390;2.580;0.390;4.340;0.540;1.130;7.940;7.350;0.829;0.939
23;MA-200999;Plate Slag;18.980;8.750;323.530;9.880;22.440;34.310;4.390;5.190;68.150;37.040;4.060;3.630;56.310;126.680;72.520;128.140;6.580;1.220;5.810;0.290;5.100;411.690;39.290;57.620;7.880;35.220;8.310;1.930;9.850;1.480;9.010;1.920;5.230;0.730;4.750;0.610;3.680;0.550;0.830;7.180;4.900;0.744;0.988
