"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Flow Slag","MA-201008","Eisenberg","12.68","4.98","260.73","5.43","13.27","14.76","0.87","4.37","9.71","12.26","5.79","0.49","53.05","98.65","17.31","92.39","4.19","0.23","1.27","0.0","4.34","398.47","15.7","23.75","3.34","14.0","2.75","0.64","2.91","0.43","2.8","0.53","1.55","0.19","1.4","0.2","2.71","0.36","1.87","4.51","3.32"
"Flow Slag","MA-201010","Eisenberg","35.81","4.24","293.19","11.82","47.9","38.42","1.89","2.52","28.07","27.21","7.84","1.04","108.97","147.33","35.66","268.87","8.39","0.71","1.11","0.1","10.45","1055.29","26.69","45.28","6.28","26.3","6.38","1.26","5.97","0.94","5.76","1.18","3.41","0.49","3.23","0.46","7.16","0.74","1.02","9.41","4.21"
"Flow Slag","MA-201011","Eisenberg","34.23","7.12","282.86","11.8","36.76","28.42","16.47","3.67","69.32","128.51","6.34","1.42","64.35","137.58","50.21","349.35","7.18","0.48","1.62","0.17","5.16","647.52","25.14","44.12","6.23","27.13","7.05","1.48","8.23","1.31","8.12","1.7","4.89","0.71","4.73","0.7","9.38","0.63","1.01","9.24","9.24"
"Flow Slag","MA-201012","Eisenberg","37.05","14.82","333.11","12.71","37.41","31.44","7.48","6.97","8.25","37.39","8.83","3.1","111.22","303.35","38.06","146.15","7.66","1.6","1.64","0.13","10.99","441.14","30.61","48.67","6.51","28.77","6.86","1.41","6.75","1.02","6.2","1.3","3.67","0.52","3.49","0.48","4.19","0.63","0.91","8.21","16.35"
"Ore","MA-201429","Imbasch","2.64","380.0","2330.0","28.9","86.0","12.6","65.0","80.0","273.0","350.0","5.5","310.0","27.7","88.0","196.0","16.3","2.56","4.4","1.53","26.6","7.2","770.0","26.9","24.2","10.17","51.0","20.4","3.1","23.1","4.5","26.5","5.5","16.0","2.33","15.4","2.33","0.39","0.09","30.0","3.8","69.0"
"Ore","MA-201430","Hettenleidelheim","30.0","11.3","2650.0","8.0","61.0","38.0","22.0","44.0","26.0","116.0","8.9","45.0","104.0","84.0","18.7","37.0","4.1","1.98","1.9","3.8","12.5","1100.0","14.0","27.8","4.26","15.5","4.0","1.07","3.7","0.69","3.8","0.77","1.95","0.28","1.69","0.24","1.06","0.34","1.0","4.1","4.1"
"Ore","MA-201431","Hettenleidelheim","9.6","11.2","2320.0","3.2","32.0","18.3","32.0","56.0","21.5","107.0","3.4","6.9","38.0","36.0","13.3","17.9","1.46","0.64","1.44","1.34","4.9","430.0","6.1","13.4","2.04","8.2","2.55","0.61","2.43","0.42","2.74","0.49","1.36","0.19","1.25","0.18","0.42","0.16","0.51","1.51","2.56"
"Ore","MA-201432","Hettenleidelheim","19.0","10.8","2260.0","6.3","50.0","29.5","13.9","32.0","15.2","79.0","5.6","12.8","58.0","34.0","12.9","86.0","2.7","0.93","1.38","1.7","5.6","360.0","7.9","27.6","2.34","9.2","2.74","0.65","2.35","0.45","2.68","0.48","1.4","0.19","1.32","0.2","2.84","0.21","0.82","3.2","1.82"
"Ore","MA-201433","Tiefenthal","5.0","7.2","3700.0","7.6","152.0","74.0","17.2","110.0","16.4","63.0","2.4","128.0","15.5","0.01","29.1","19.8","2.53","16.0","0.78","3.8","1.78","2200.0","7.9","49.0","2.32","8.7","2.54","0.68","3.2","0.67","3.8","0.86","2.48","0.38","2.15","0.37","0.46","0.22","0.74","2.67","2.99"
"Ore","MA-201434","Tiefenthal","28.0","14.1","3400.0","7.8","56.0","34.0","34.0","151.0","161.0","117.0","7.3","11.6","84.0","145.0","36.0","37.0","3.8","2.32","1.7","1.47","7.1","2250.0","25.8","51.0","7.7","31.0","7.7","1.94","8.3","1.27","7.0","1.34","3.6","0.48","2.92","0.44","1.01","0.3","0.97","5.4","2.76"
"Ore","MA-201535","Eisenberg","18.34","10.81","3213.52","6.07","128.5","23.53","20.02","46.04","21.88","138.09","5.59","46.3","54.65","179.57","36.24","16.94","2.34","20.2","1.3","1.87","5.16","1787.17","21.66","21.27","6.37","24.86","6.5","1.54","6.35","1.0","5.65","1.11","2.99","0.39","2.48","0.39","0.46","0.18","0.46","2.06","3.95"
"Ore","MA-201912","Hettenleidelheim","6.63","14.87","3605.12","6.53","85.89","99.35","8.57","55.29","53.2","79.2","4.45","2245.39","34.88","20.7","10.76","37.61","3.51","8.9","1.31","5.84","2.86","171.84","7.78","11.06","2.63","10.19","2.73","0.69","2.3","0.44","2.5","0.48","1.43","0.19","1.56","0.24","1.63","0.32","1.63","4.08","4.44"
"Ore","MA-201914","Stumpfwald","25.02","30.13","3869.76","10.03","63.1","47.94","45.89","83.82","51.33","56.76","8.2","9.17","84.05","34.48","13.94","61.61","5.69","0.75","6.69","7.27","11.18","1111.08","5.07","20.59","2.2","9.17","3.83","1.2","4.79","0.73","3.63","0.62","1.53","0.22","1.3","0.21","1.99","0.46","1.99","2.64","2.04"
"Iron-SI","MA-201419","Eisenberg","36.47","5.64","1390.51","19.74","1.71","3.93","0.86","9.27","1.65","4.12","1.06","1.24","94.68","825.82","100.21","166.26","4.2","0.49","0.15","0.14","6.05","2030.98","58.76","101.33","13.19","52.39","12.41","3.15","13.32","1.92","12.21","2.71","7.82","1.06","7.28","1.15","3.79","0.83","3.79","9.09","9.44"
