"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Bloom","MA-200988-2B","Eisenberg","24.4","9.8","277.7","9.4","39.3","13.8","0.8","0.2","2.1","17.3","9.0","0.2","79.4","190.8","43.0","59.2","5.1","1.7","0.8",,"6.9","3180.0","16.6","34.9","4.1","19.1","5.2","1.5","7.6","1.3","7.9","1.7","4.8","0.7","4.4","0.7","1.7","0.4","0.8","4.7","9.2"
"Bloom","MA-200988-2B","Eisenberg","26.5","13.0","233.5","8.7","34.5","11.4","0.8","0.01","2.2","15.5","7.6","0.2","101.7","280.6","48.6","75.0","6.7","1.6","1.0",,"8.7","4554.5","21.7","46.5","5.5","23.5","6.4","1.9","9.2","1.5","8.9","1.8","4.9","0.7","4.5","0.6","2.2","0.5","1.0","6.0","11.8"
"Bloom","MA-200988-2B","Eisenberg","21.5","8.3","242.4","9.5","42.3","15.8","0.5","0.2","1.7","16.9","8.0","0.3","79.5","179.0","46.6","63.7","4.9","1.7","0.7",,"6.2","2972.4","17.6","37.4","4.5","18.6","5.5","1.5","8.0","1.3","7.9","1.7","4.8","0.7","4.5","0.6","1.8","0.4","0.8","4.8","9.0"
"Bloom","MA-200988-2B","Eisenberg","26.8","14.5","231.0","8.4","31.3","11.4","0.4","2.3","2.5","12.9","7.0","0.4","124.8","297.7","54.6","82.7","7.5","1.4","1.1",,"10.2","5073.0","25.3","53.1","6.3","28.1","8.0","2.4","10.6","1.7","9.9","2.0","5.8","0.7","4.9","0.6","2.3","0.5","1.1","6.8","13.3"
"Bloom","MA-200988-2B","Eisenberg","25.6","9.1","219.2","8.9","42.3","15.5","0.5","0.01","1.3","18.1","8.7","0.2","64.8","179.9","41.7","59.7","4.9","1.8","0.6",,"5.6","2776.9","15.6","34.2","4.1","16.9","4.7","1.3","7.1","1.2","7.2","1.5","4.1","0.6","3.8","0.6","1.7","0.4","0.7","4.5","8.6"
"Bloom","MA-200988-2B","Eisenberg","26.6","15.7","201.9","7.0","56.0","26.0","0.3","0.2","2.6","14.9","8.1","0.01","146.4","325.7","59.1","88.3","7.7","1.2","1.1",,"12.1","5650.8","28.4","59.3","7.2","30.8","8.5","2.4","12.2","1.9","10.5","2.1","5.5","0.7","4.3","0.5","2.3","0.6","1.0","7.4","13.5"
"Bloom","MA-200988-2B","Eisenberg","27.3","13.6","258.8","6.5","19.9","6.7","6.9","5.4","16.6","14.4","7.8","2.9","106.4","282.2","48.7","72.5","6.9","2.9","1.3",,"8.7","4372.8","22.5","48.7","5.9","26.0","6.9","2.0","9.3","1.5","9.0","1.9","5.1","0.7","4.1","0.5","2.0","0.5","1.0","6.1","11.8"
"Bloom","MA-200988-2B","Eisenberg","14.0","1.4","225.3","10.6","101.1","82.7","2.7","0.2","1.6","18.3","7.1","0.01","9.9","26.3","18.2","19.5","1.0","1.9","0.1",,"0.9","429.8","2.6","5.5","0.6","3.0","1.0","0.2","1.7","0.3","2.5","0.6","2.1","0.4","2.8","0.5","0.7","0.1","0.1","0.8","1.4"
"Bloom","MA-200988-2B","Eisenberg","22.6","6.5","344.0","10.3","30.6","24.2","67.3","10.3","16.0","13.8","4.7","0.3","46.5","102.6","32.6","41.8","3.5","1.7","0.6",,"4.0","1630.7","9.8","22.1","2.6","11.6","3.2","0.9","4.9","0.9","5.6","1.2","3.7","0.5","3.8","0.6","1.1","0.3","0.4","2.9","6.0"
"Bloom","MA-200988-2B","Eisenberg","19.1","5.2","211.1","9.1","89.1","47.8","1.9","0.2","2.1","18.7","8.8","0.01","57.0","110.3","29.7","43.8","3.2","1.8","0.4",,"4.3","1721.4","11.0","23.4","2.8","11.8","3.1","0.9","5.0","0.8","5.1","1.1","3.2","0.5","3.2","0.5","1.3","0.3","0.5","2.9","5.7"
"Bloom","MA-200988-1A","Eisenberg","23.2","12.7","410.4","11.0","51.0","40.2","1.9","0.2","2.0","15.7","7.1","0.3","87.7","240.7","52.3","82.4","6.5","1.8","0.9",,"6.9","3453.0","19.9","38.4","5.1","23.2","6.0","1.6","9.4","1.5","9.7","2.0","5.5","0.7","4.7","0.7","2.3","0.5","0.7","6.0","10.5"
"Bloom","MA-200988-1A","Eisenberg","22.9","11.8","532.1","10.3","51.7","32.5","1.3","0.1","2.0","17.7","7.2","0.2","78.0","225.8","50.6","76.4","5.8","1.7","0.8",,"6.4","3369.0","19.9","36.0","4.8","22.7","6.2","1.7","9.3","1.5","9.6","2.0","5.4","0.8","4.8","0.7","2.3","0.5","0.7","6.0","9.0"
"Bloom","MA-200988-1A","Eisenberg","20.9","10.4","492.8","11.7","44.1","18.6","0.8","0.1","1.9","16.7","7.2","0.01","84.8","216.5","57.8","79.4","5.5","1.8","0.8",,"5.9","2831.2","19.0","36.0","5.0","21.3","5.5","1.5","9.3","1.6","10.3","2.1","6.0","0.8","5.5","0.9","2.3","0.5","0.7","5.8","9.3"
"Bloom","MA-200988-1A","Eisenberg","16.6","7.5","404.6","8.3","37.5","21.0","1.1","0.2","1.2","15.8","5.9","0.2","63.5","160.6","38.2","53.9","4.2","1.3","0.6",,"5.3","2540.6","14.4","28.5","3.6","16.0","4.5","1.2","6.7","1.1","6.9","1.5","4.1","0.6","4.0","0.6","1.7","0.4","0.6","4.4","7.7"
"Bloom","MA-200988-1A","Eisenberg","23.8","12.8","409.7","9.1","45.6","33.3","14.1","3.6","2.9","17.7","6.2","0.2","113.6","284.8","52.8","83.0","6.8","1.6","1.1",,"9.4","4272.1","24.4","48.3","6.0","26.5","7.3","2.0","10.7","1.7","10.1","2.0","5.6","0.8","4.9","0.7","2.6","0.6","0.9","7.3","13.0"
"Bloom","MA-200988-1A","Eisenberg","21.5","11.0","449.9","10.1","46.0","29.1","3.8","0.8","2.0","16.7","6.7","0.2","85.5","225.7","50.4","75.0","5.8","1.6","0.8",,"6.8","3293.2","19.5","37.5","4.9","21.9","5.9","1.6","9.1","1.5","9.3","1.9","5.3","0.7","4.8","0.7","2.2","0.5","0.7","5.9","9.9"
"Bloom","MA-200988-1B","Eisenberg","26.8","13.1","201.4","8.2","21.7","6.2","1.4","0.2","3.2","14.4","7.4","0.2","108.7","254.0","45.8","69.3","7.1","1.3","1.1",,"8.5","4153.8","20.9","48.9","5.5","23.2","6.2","1.8","8.8","1.4","8.0","1.6","4.4","0.6","3.8","0.5","1.7","0.4","1.1","5.1","12.4"
"Bloom","MA-200988-1B","Eisenberg","23.3","11.2","248.8","8.4","27.4","8.0","2.9","0.3","3.0","15.5","7.4","0.4","90.0","228.8","43.0","65.3","6.1","1.2","0.9",,"7.4","3684.6","19.3","43.8","5.0","21.0","5.7","1.8","8.3","1.3","8.0","1.6","4.5","0.6","3.9","0.6","1.7","0.4","0.9","5.1","11.3"
"Bloom","MA-200988-1B","Eisenberg","28.5","11.6","230.6","8.4","37.8","11.9","0.6","0.1","2.2","16.7","8.0","0.3","90.0","226.9","41.9","67.0","6.1","1.2","0.9",,"7.4","3622.7","18.1","39.3","4.6","19.7","5.5","1.5","7.8","1.2","7.4","1.5","4.2","0.6","3.8","0.5","1.7","0.4","0.9","4.6","9.3"
"Bloom","MA-200988-1B","Eisenberg","30.9","15.0","198.9","7.8","33.6","10.7","0.5","0.2","3.6","15.4","7.7","0.3","120.4","289.9","44.4","78.5","8.0","1.3","1.3",,"10.0","4718.9","22.8","54.1","6.0","24.9","6.8","1.9","9.5","1.5","8.6","1.7","4.6","0.6","3.6","0.5","2.0","0.5","1.2","5.9","14.2"
"Bloom","MA-200988-1B","Eisenberg","29.0","12.0","186.3","7.5","41.3","25.5","1.9","0.2","3.1","17.2","7.1","0.3","115.3","254.5","40.9","70.0","6.4","1.4","1.0",,"9.1","3817.9","20.0","44.0","5.0","21.0","5.7","1.6","8.0","1.2","7.2","1.4","4.0","0.5","3.3","0.4","1.8","0.4","0.9","4.9","10.5"
"Bloom","MA-200988-1B","Eisenberg","28.8","12.9","204.3","8.0","33.6","13.6","1.1","0.2","3.0","15.9","7.6","0.3","108.6","256.3","43.3","71.2","6.9","1.3","1.1",,"8.8","4078.3","20.5","46.6","5.3","22.2","6.0","1.7","8.5","1.3","7.8","1.6","4.3","0.6","3.6","0.5","1.8","0.4","1.0","5.1","11.6"
"Bloom","MA-200988-2B","Eisenberg","26.8","12.0","409.8","8.3","106.3","45.2","0.01","0.01","0.01","0.01","9.3","0.01","79.0","166.6","42.0","89.3","6.7","3.4","1.0",,"7.8","2389.0","22.2","47.4","5.8","24.7","6.3","1.6","9.5","1.5","8.5","1.8","4.5","0.6","3.8","0.5","2.7","0.5","0.8","6.3","12.4"
"Bloom","MA-200988-2B","Eisenberg","25.7","10.0","272.1","9.3","37.3","12.2","0.7","0.1","2.4","16.5","8.1","0.2","97.9","215.3","46.5","64.0","5.3","1.6","0.8",,"7.5","3515.7","19.7","41.6","5.0","21.5","5.9","1.6","8.6","1.4","8.4","1.8","5.0","0.7","4.6","0.7","1.9","0.4","0.9","5.5","10.6"
"Bloom","MA-200988-2B","Eisenberg","25.1","11.2","231.5","8.9","37.6","13.5","0.5","0.6","1.9","15.9","7.8","0.3","92.7","234.3","47.9","70.3","6.0","1.6","0.9",,"7.7","3844.2","20.0","42.8","5.1","21.8","6.1","1.8","8.7","1.4","8.4","1.7","4.9","0.7","4.4","0.6","2.0","0.5","0.9","5.5","10.7"
"Bloom","MA-200988-2B","Eisenberg","26.9","14.7","230.3","6.7","38.0","16.4","3.6","2.8","9.6","14.7","7.9","1.4","126.4","304.0","53.9","80.4","7.3","2.0","1.2",,"10.4","5011.8","25.5","54.0","6.5","28.4","7.7","2.2","10.8","1.7","9.8","2.0","5.3","0.7","4.2","0.5","2.2","0.5","1.0","6.8","12.7"
"Bloom","MA-200988-2B","Eisenberg","18.6","4.4","260.1","10.0","73.6","51.6","24.0","3.6","6.5","16.9","6.9","0.1","37.8","79.7","26.8","35.0","2.6","1.8","0.4",,"3.1","1260.6","7.8","17.0","2.0","8.8","2.5","0.7","3.9","0.7","4.4","1.0","3.0","0.5","3.3","0.5","1.0","0.2","0.3","2.2","4.4"
"Bloom","MA-200988-2B","Eisenberg","24.6","10.4","280.8","8.6","58.5","27.8","7.2","1.8","5.1","16.0","8.0","0.5","86.8","200.0","43.4","67.8","5.6","2.1","0.8",,"7.3","3204.3","19.0","40.6","4.9","21.0","5.7","1.6","8.3","1.4","7.9","1.6","4.6","0.6","4.0","0.6","1.9","0.4","0.8","5.3","10.1"
