"Material","Sample","Site","Li","Be","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","S","K2O (%)","CaO (%)","Sc","TiO2 (%)","V","Cr","MnO (%)","Fe2O3 (%)","Co","Ni","Cu","As","Rb","Y","Zr","Nb","Mo","Sn","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Bloom","MA-200988-1B","Eisenberg","38.4","15.9","0.2","0.47","8.6","22.4","1.18","171.3","3.48","4.41","6.0","0.18","20.2","10.2","5.3","53.16","2.4","0.5","3.5","0.4","142.3","47.3","79.6","8.1","1.2","1.4","5116.5","25.6","57.4","6.5","26.9","7.1","2.0","10.1","1.5","8.8","1.7","4.5","0.6","3.5","0.5","2.0","0.5","1.1","6.4","13.7"
"Bloom","MA-200988-1B","Eisenberg","21.9","10.8","0.15","0.94","6.9","24.3","0.84","190.9","2.45","3.35","8.2","0.2","33.2","13.6","7.3","53.16","1.6","0.01","2.7","0.2","103.8","38.9","64.6","5.7","1.3","0.9","3440.0","18.2","39.4","4.5","18.7","5.0","1.4","7.2","1.1","6.7","1.4","3.8","0.5","3.3","0.5","1.7","0.4","0.8","4.3","9.3"
"Bloom","MA-200988-1B","Eisenberg","26.7","9.3","0.1","0.92","6.5","24.2","0.89","196.5","2.51","3.03","8.2","0.23","70.6","52.6","8.1","53.16","1.8","0.2","3.1","0.4","99.8","36.4","65.7","5.4","1.6","0.8","2897.3","16.3","35.2","4.1","17.3","5.0","1.3","6.9","1.1","6.2","1.2","3.6","0.5","2.9","0.4","1.6","0.4","0.7","4.1","8.5"
"Bloom","MA-200988-2B","Eisenberg","34.5","15.8","0.09","1.96","8.9","20.1","1.12","797.5","0.83","1.56","10.2","0.68","197.0","74.9","5.3","59.04","928.0","328.7","117.5","50.9","61.8","48.5","133.6","9.2","7.0","1.3","596.3","30.4","65.2","8.1","34.0","8.5","2.0","12.3","2.0","10.4","2.2","5.3","0.7","4.2","0.5","3.9","0.7","0.9","8.1","15.5"
"Bloom","MA-200988-2B","Eisenberg","26.4","13.5","0.15","0.49","6.7","20.1","1.11","211.8","2.73","3.44","7.2","0.27","65.9","30.6","5.4","59.04","6.0","2.8","2.4","0.01","118.0","47.5","90.9","7.3","1.6","1.1","4431.9","24.0","50.9","6.2","26.5","6.9","1.9","10.6","1.6","9.6","1.9","4.9","0.6","4.1","0.5","2.8","0.6","1.0","7.3","14.4"
"Bloom","MA-200988-2B","Eisenberg","19.5","6.8","0.07","0.88","7.1","20.4","0.66","220.1","1.23","2.41","7.4","0.21","56.1","30.1","7.7","59.04","2.2","0.4","1.4","0.01","57.3","29.9","43.4","3.7","1.6","0.5","2138.9","12.3","25.9","3.2","13.5","3.5","1.0","5.5","0.9","5.5","1.2","3.3","0.5","3.0","0.5","1.3","0.3","0.6","3.7","7.2"
"Bloom","MA-200988-2B","Eisenberg","26.0","10.8","0.11","0.85","7.2","25.5","0.99","269.3","2.78","3.62","9.0","0.23","38.9","12.5","7.2","50.96","0.6","0.01","3.2","0.01","119.0","52.6","76.5","6.0","1.5","0.8","3865.4","24.1","50.7","6.1","25.9","6.8","1.9","10.2","1.7","9.9","2.0","5.5","0.7","4.8","0.7","2.3","0.5","1.0","6.8","12.8"
"Bloom","MA-200988-2B","Eisenberg","26.8","9.3","0.13","1.0","7.1","25.9","0.83","269.3","1.98","3.53","9.4","0.21","33.6","10.4","8.0","50.96","0.8","0.1","1.8","0.3","95.2","43.8","56.4","4.6","1.5","0.8","3501.8","18.4","39.2","4.6","19.4","5.6","1.6","7.9","1.4","7.6","1.6","4.7","0.6","4.5","0.7","1.7","0.4","0.8","5.1","9.8"
"Bloom","MA-200988-2B","Eisenberg","24.4","9.8","0.11","1.13","7.4","24.8","0.86","277.7","1.82","3.38","9.4","0.22","39.3","13.8","8.9","50.96","0.8","0.2","2.1","0.2","79.4","43.0","59.2","5.1","1.7","0.8","3180.0","16.6","34.9","4.1","19.1","5.2","1.5","7.6","1.3","7.9","1.7","4.8","0.7","4.4","0.7","1.7","0.4","0.8","4.7","9.2"
"Bloom","MA-200988-2B","Eisenberg","26.5","13.0","0.13","0.89","7.1","24.5","0.94","233.5","2.27","3.86","8.7","0.22","34.5","11.4","7.4","52.17","0.8","0.01","2.2","0.2","101.7","48.6","75.0","6.7","1.6","1.0","4554.5","21.7","46.5","5.5","23.5","6.4","1.9","9.2","1.5","8.9","1.8","4.9","0.7","4.5","0.6","2.2","0.5","1.0","6.0","11.8"
"Bloom","MA-200988-2B","Eisenberg","21.5","8.3","0.08","1.15","7.2","24.6","0.81","242.4","1.73","3.27","9.5","0.23","42.3","15.8","8.4","52.17","0.5","0.2","1.7","0.3","79.5","46.6","63.7","4.9","1.7","0.7","2972.4","17.6","37.4","4.5","18.6","5.5","1.5","8.0","1.3","7.9","1.7","4.8","0.7","4.5","0.6","1.8","0.4","0.8","4.8","9.0"
"Bloom","MA-200988-2B","Eisenberg","26.8","14.5","0.16","0.84","7.7","23.2","1.01","231.0","3.13","4.21","8.4","0.22","31.3","11.4","6.7","52.17","0.4","2.3","2.5","0.4","124.8","54.6","82.7","7.5","1.4","1.1","5073.0","25.3","53.1","6.3","28.1","8.0","2.4","10.6","1.7","9.9","2.0","5.8","0.7","4.9","0.6","2.3","0.5","1.1","6.8","13.3"
"Bloom","MA-200988-2B","Eisenberg","25.6","9.1","0.09","1.11","7.4","24.9","0.82","219.2","1.35","3.08","8.9","0.23","42.3","15.5","8.5","52.17","0.5","0.01","1.3","0.2","64.8","41.7","59.7","4.9","1.8","0.6","2776.9","15.6","34.2","4.1","16.9","4.7","1.3","7.1","1.2","7.2","1.5","4.1","0.6","3.8","0.6","1.7","0.4","0.7","4.5","8.6"
"Bloom","MA-200988-2B","Eisenberg","26.6","15.7","0.03","0.32","8.8","20.4","1.02","201.9","3.52","4.34","7.0","0.27","56.0","26.0","4.8","55.8","0.3","0.2","2.6","0.01","146.4","59.1","88.3","7.7","1.2","1.1","5650.8","28.4","59.3","7.2","30.8","8.5","2.4","12.2","1.9","10.5","2.1","5.5","0.7","4.3","0.5","2.3","0.6","1.0","7.4","13.5"
"Bloom","MA-200988-2B","Eisenberg","27.3","13.6","0.16","0.46","8.0","21.5","0.97","258.8","2.63","4.08","6.5","0.17","19.9","6.7","5.8","55.8","6.9","5.4","16.6","2.9","106.4","48.7","72.5","6.9","2.9","1.3","4372.8","22.5","48.7","5.9","26.0","6.9","2.0","9.3","1.5","9.0","1.9","5.1","0.7","4.1","0.5","2.0","0.5","1.0","6.1","11.8"
"Bloom","MA-200988-2B","Eisenberg","14.0","1.4","0.01","1.99","5.0","23.8","0.34","225.3","0.21","1.38","10.6","0.18","101.1","82.7","10.7","56.19","2.7","0.2","1.6","0.01","9.9","18.2","19.5","1.0","1.9","0.1","429.8","2.6","5.5","0.6","3.0","1.0","0.2","1.7","0.3","2.5","0.6","2.1","0.4","2.8","0.5","0.7","0.1","0.1","0.8","1.4"
"Bloom","MA-200988-2B","Eisenberg","22.6","6.5","0.06","1.49","3.5","25.0","0.54","344.0","1.18","2.19","10.3","0.13","30.6","24.2","9.4","56.19","67.3","10.3","16.0","0.3","46.5","32.6","41.8","3.5","1.7","0.6","1630.7","9.8","22.1","2.6","11.6","3.2","0.9","4.9","0.9","5.6","1.2","3.7","0.5","3.8","0.6","1.1","0.3","0.4","2.9","6.0"
"Bloom","MA-200988-2B","Eisenberg","19.1","5.2","0.04","0.99","6.8","22.5","0.58","211.1","1.4","2.41","9.1","0.26","89.1","47.8","8.5","56.19","1.9","0.2","2.1","0.01","57.0","29.7","43.8","3.2","1.8","0.4","1721.4","11.0","23.4","2.8","11.8","3.1","0.9","5.0","0.8","5.1","1.1","3.2","0.5","3.2","0.5","1.3","0.3","0.5","2.9","5.7"
