"Material","Sample","Site","Li","Be","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","S","K2O (%)","CaO (%)","Sc","TiO2 (%)","V","Cr","MnO (%)","Fe2O3 (%)","Co","Ni","Cu","As","Rb","Y","Zr","Nb","Mo","Sn","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Flow Slag","MA-201003","Eisenberg","27.23","7.02","0.1","1.79","5.45","19.43","0.34","275.11","1.74","2.1","8.18","0.15","20.41","14.45","3.02","65.75","6.65","4.91","15.43","2.41","71.7","42.42","127.48","4.13","0.62","1.16","363.16","17.95","32.5","4.31","19.05","5.0","1.07","5.69","0.89","5.68","1.19","3.57","0.52","3.39","0.52","3.69","0.38","0.81","6.0","4.96"
"Flow Slag","MA-201004","Eisenberg","15.95","2.14","0.17","0.85","5.08","20.86","0.76","367.15","1.08","4.27","6.74","0.13","45.74","19.85","1.27","65.34","10.75","17.61","18.38","30.86","48.72","13.63","113.55","4.52","2.37","1.76","762.3","15.06","25.35","3.35","14.75","3.4","0.68","2.96","0.42","2.47","0.48","1.37","0.2","1.35","0.19","3.62","0.36","1.02","4.68","1.32"
"Flow Slag","MA-201005","Eisenberg","26.74","8.48","0.13","1.42","9.09","29.48","0.24","293.67","2.69","3.32","12.49","0.28","46.13","40.67","3.44","49.69","4.43","4.46","9.05","1.03","139.98","67.0","322.62","6.75","0.64","0.97","825.78","29.66","61.8","7.99","38.82","10.44","2.16","11.69","1.73","10.1","2.07","5.8","0.79","4.97","0.71","9.36","0.63","0.79","9.53","3.39"
"Flow Slag","MA-201006","Eisenberg","12.58","1.71","0.22","0.89","4.34","21.12","0.52","233.8","1.0","4.45","6.2","0.13","17.97","15.7","0.55","66.65","19.15","11.64","18.78","9.67","30.01","18.28","253.17","4.24","0.36","1.2","410.48","13.65","22.92","3.02","12.83","3.28","0.55","2.79","0.42","2.59","0.54","1.49","0.23","1.61","0.22","6.71","0.37","0.91","4.79","1.21"
"Flow Slag","MA-201008","Eisenberg","12.68","4.98","0.08","0.49","4.55","17.04","0.43","260.73","1.05","1.91","5.43","0.1","13.27","14.76","1.03","73.2","0.87","4.37","9.71","0.49","53.05","17.31","92.39","4.19","0.23","1.27","398.47","15.7","23.75","3.34","14.0","2.75","0.64","2.91","0.43","2.8","0.53","1.55","0.19","1.4","0.2","2.71","0.36","1.87","4.51","3.32"
"Flow Slag","MA-201010","Eisenberg","35.81","4.24","0.13","1.47","9.52","27.25","0.34","293.19","2.7","3.02","11.82","0.32","47.9","38.42","3.92","51.07","1.89","2.52","28.07","1.04","108.97","35.66","268.87","8.39","0.71","1.11","1055.29","26.69","45.28","6.28","26.3","6.38","1.26","5.97","0.94","5.76","1.18","3.41","0.49","3.23","0.46","7.16","0.74","1.02","9.41","4.21"
"Flow Slag","MA-201011","Eisenberg","34.23","7.12","0.11","1.14","6.17","23.69","0.27","282.86","1.73","2.13","11.8","0.22","36.76","28.42","2.72","61.61","16.47","3.67","69.32","1.42","64.35","50.21","349.35","7.18","0.48","1.62","647.52","25.14","44.12","6.23","27.13","7.05","1.48","8.23","1.31","8.12","1.7","4.89","0.71","4.73","0.7","9.38","0.63","1.01","9.24","9.24"
"Flow Slag","MA-201012","Eisenberg","37.05","14.82","0.16","1.34","8.2","26.51","0.84","333.11","2.38","2.4","12.71","0.22","37.41","31.44","8.31","49.48","7.48","6.97","8.25","3.1","111.22","38.06","146.15","7.66","1.6","1.64","441.14","30.61","48.67","6.51","28.77","6.86","1.41","6.75","1.02","6.2","1.3","3.67","0.52","3.49","0.48","4.19","0.63","0.91","8.21","16.35"
"Ore","MA-201429","Imbasch","2.64","380.0","0.05","0.21","2.65","8.1","2.31","2330.0","0.82","0.37","28.9","0.03","86.0","12.6","5.0","79.9","65.0","80.0","273.0","310.0","27.7","196.0","16.3","2.56","4.4","1.53","770.0","26.9","24.2","10.17","51.0","20.4","3.1","23.1","4.5","26.5","5.5","16.0","2.33","15.4","2.33","0.39","0.09","30.0","3.8","69.0"
"Ore","MA-201430","Hettenleidelheim","30.0","11.3","0.1","0.91","8.15","21.1","0.22","2650.0","2.62","0.51","8.0","0.24","61.0","38.0","3.1","62.59","22.0","44.0","26.0","45.0","104.0","18.7","37.0","4.1","1.98","1.9","1100.0","14.0","27.8","4.26","15.5","4.0","1.07","3.7","0.69","3.8","0.77","1.95","0.28","1.69","0.24","1.06","0.34","1.0","4.1","4.1"
"Ore","MA-201431","Hettenleidelheim","9.6","11.2","0.04","0.38","3.11","8.4","0.31","2320.0","0.85","0.24","3.2","0.08","32.0","18.3","1.08","85.13","32.0","56.0","21.5","6.9","38.0","13.3","17.9","1.46","0.64","1.44","430.0","6.1","13.4","2.04","8.2","2.55","0.61","2.43","0.42","2.74","0.49","1.36","0.19","1.25","0.18","0.42","0.16","0.51","1.51","2.56"
"Ore","MA-201432","Hettenleidelheim","19.0","10.8","0.06","0.63","5.52","13.4","0.3","2260.0","1.49","0.28","6.3","0.12","50.0","29.5","1.11","76.75","13.9","32.0","15.2","12.8","58.0","12.9","86.0","2.7","0.93","1.38","360.0","7.9","27.6","2.34","9.2","2.74","0.65","2.35","0.45","2.68","0.48","1.4","0.19","1.32","0.2","2.84","0.21","0.82","3.2","1.82"
"Ore","MA-201433","Tiefenthal","5.0","7.2","0.03","0.99","1.71","30.0","0.54","3700.0","0.26","0.21","7.6","0.09","152.0","74.0","0.02","66.13","17.2","110.0","16.4","128.0","15.5","29.1","19.8","2.53","16.0","0.78","2200.0","7.9","49.0","2.32","8.7","2.54","0.68","3.2","0.67","3.8","0.86","2.48","0.38","2.15","0.37","0.46","0.22","0.74","2.67","2.99"
"Ore","MA-201434","Tiefenthal","28.0","14.1","0.08","0.81","6.28","17.4","0.24","3400.0","1.85","0.65","7.8","0.18","56.0","34.0","8.3","63.49","34.0","151.0","161.0","11.6","84.0","36.0","37.0","3.8","2.32","1.7","2250.0","25.8","51.0","7.7","31.0","7.7","1.94","8.3","1.27","7.0","1.34","3.6","0.48","2.92","0.44","1.01","0.3","0.97","5.4","2.76"
"Ore","MA-201535","Eisenberg","18.34","10.81","0.15","0.7","4.6","12.74","1.6","3213.52","1.32","1.98","6.07","0.1","128.5","23.53","4.19","72.02","20.02","46.04","21.88","46.3","54.65","36.24","16.94","2.34","20.2","1.3","1787.17","21.66","21.27","6.37","24.86","6.5","1.54","6.35","1.0","5.65","1.11","2.99","0.39","2.48","0.39","0.46","0.18","0.46","2.06","3.95"
"Ore","MA-201912","Hettenleidelheim","6.63","14.87","0.04","0.14","4.9","26.58","0.2","3605.12","0.7","0.3","6.53","0.14","85.89","99.35","0.04","66.29","8.57","55.29","53.2","2245.39","34.88","10.76","37.61","3.51","8.9","1.31","171.84","7.78","11.06","2.63","10.19","2.73","0.69","2.3","0.44","2.5","0.48","1.43","0.19","1.56","0.24","1.63","0.32","1.63","4.08","4.44"
"Ore","MA-201914","Stumpfwald","25.02","30.13","0.11","0.54","7.68","46.72","0.5","3869.76","2.19","0.34","10.03","0.27","63.1","47.94","0.95","40.12","45.89","83.82","51.33","9.17","84.05","13.94","61.61","5.69","0.75","6.69","1111.08","5.07","20.59","2.2","9.17","3.83","1.2","4.79","0.73","3.63","0.62","1.53","0.22","1.3","0.21","1.99","0.46","1.99","2.64","2.04"
"Iron-SI","MA-201419","Eisenberg","36.47","5.64","0.161875","2.040492","10.674166","67.697717","0.005626","1390.51","3.292747","11.086701","19.74","0.48109","1.71","3.93","3.062812","0.994742","0.86","9.27","1.65","1.24","94.68","100.21","166.26","4.2","0.49","0.15","2030.98","58.76","101.33","13.19","52.39","12.41","3.15","13.32","1.92","12.21","2.71","7.82","1.06","7.28","1.15","3.79","0.83","3.79","9.09","9.44"
"Iron-SI","MA-201419","Eisenberg","35.41","5.42","0.151341","2.185227","10.797902","67.871623","0.003877","1224.28","3.042006","11.212028","18.76","0.488284","1.04","2.88","2.68598","1.082349","0.93","8.94","2.51","3.77","83.63","104.67","170.47","4.1","0.01","0.27","1971.27","63.86","110.75","13.92","54.41","12.42","3.33","14.83","2.0","14.01","2.88","8.65","1.33","7.97","1.23","4.55","0.86","4.55","9.89","9.83"
"Iron-SI","MA-201419","Eisenberg","36.24","6.92","0.177733","2.191218","12.666941","69.610402","0.01094","718.32","3.557941","8.422272","25.08","0.624092","0.31","0.01","1.988008","0.334948","0.14","2.75","1.37","0.01","129.53","103.0","162.11","1.21","0.06","0.01","1992.95","64.68","112.0","13.99","53.67","10.96","3.05","16.33","2.28","13.25","2.95","8.3","1.22","8.57","1.44","5.12","0.72","5.12","10.55","9.38"
"Iron-SI","MA-201419","Eisenberg","38.3","6.04","0.182123","2.13257","12.316414","70.414357","0.01","2297.87","3.875552","8.151008","24.41","0.575484","0.52","0.01","1.377719","0.391637","0.34","4.21","1.12","2.26","130.75","111.52","187.96","2.01","0.17","0.01","1980.58","66.66","114.07","14.16","60.64","11.81","3.6","15.37","2.25","14.88","2.75","9.09","1.28","7.63","1.36","5.34","0.77","5.34","10.38","10.5"
"Iron-SI","MA-201419","Eisenberg","36.04","5.81","0.17813","2.015136","12.16687","69.317028","0.01","1757.67","3.883835","8.295995","23.12","0.579803","0.77","1.29","2.671731","0.368592","0.06","0.38","0.86","0.37","126.17","109.6","176.73","3.15","0.27","0.01","1963.99","64.58","113.26","14.37","57.93","13.13","3.31","15.42","2.17","13.2","2.9","8.28","1.2","7.71","1.27","4.55","0.92","4.55","9.77","10.19"
"Iron-SI","MA-201419","Eisenberg","36.46","5.76","0.1687","1.855821","11.853121","69.501509","0.009066","403.52","3.924839","7.982926","21.77","0.549261","2.56","2.78","3.258243","0.520001","0.07","2.18","0.47","0.01","127.94","105.26","181.64","4.46","0.24","0.01","1882.1","61.85","106.48","13.48","56.43","12.41","2.94","14.25","2.09","13.35","2.65","8.71","1.17","6.89","1.08","4.87","0.8","4.87","9.56","10.03"
"Iron-SI","MA-201419","Eisenberg","35.0","8.17","0.172644","1.8958","11.770507","69.334514","0.011164","1681.09","3.826365","7.878116","21.46","0.550184","1.5","3.15","3.483109","0.568493","0.79","5.97","1.53","0.01","123.05","103.55","178.41","3.87","0.35","0.18","1895.6","62.54","106.95","12.82","56.28","13.18","3.11","15.3","2.15","12.6","2.92","8.1","1.22","6.94","1.23","4.43","0.77","4.43","9.35","9.88"
"Iron-SI","MA-201419","Eisenberg","34.67","5.02","0.162178","2.069413","11.241933","69.266646","0.007758","2659.09","3.755508","7.761106","24.28","0.542498","2.11","3.22","2.937272","1.658929","1.85","17.56","4.2","1.06","126.61","104.53","173.14","4.41","0.49","0.01","1817.82","59.49","106.02","13.47","54.99","11.69","3.41","14.69","2.18","14.36","2.92","9.11","1.2","8.02","0.97","4.95","0.78","4.95","9.64","9.38"
"Iron-SI","MA-201419","Eisenberg","32.42","6.56","0.138311","2.123614","10.995875","69.503388","0.01","2900.25","3.201307","7.533052","24.19","0.521592","1.59","2.89","4.420964","0.950781","1.0","13.03","0.93","3.15","111.77","110.89","177.73","5.45","0.63","0.18","1761.63","62.55","108.75","13.47","53.2","12.06","2.94","16.26","2.19","14.02","3.08","8.49","1.18","8.15","1.29","5.05","0.84","5.05","9.46","9.06"
"Iron-SI","MA-201419","Eisenberg","31.3","5.66","0.167954","2.051519","9.775079","67.015454","0.015112","1641.37","3.139268","9.46425","17.79","0.42777","38.73","39.42","5.380824","2.056168","0.19","1.94","0.68","0.01","77.13","92.07","155.83","10.19","0.67","0.27","1907.53","52.64","94.3","11.27","47.66","9.67","2.8","11.9","1.89","11.39","2.34","7.3","1.02","6.15","0.94","3.9","0.76","3.9","8.3","8.44"
"Iron-SI","MA-201419","Eisenberg","33.71","5.74","0.169651","2.105366","9.815758","66.677668","0.036354","1424.96","3.055581","9.560839","19.16","0.433096","42.64","38.81","5.287776","2.374263","0.56","6.92","0.6","0.58","73.9","90.12","153.59","10.5","0.46","0.01","1887.66","53.4","94.77","11.87","47.54","10.3","2.56","12.0","1.88","11.27","2.47","7.08","0.89","7.24","0.98","4.35","0.76","4.35","8.51","8.14"
"Iron-SI-P","MA-201421","Eisenberg","19.78","1.39","0.203913","0.743623","3.933575","45.04814","0.534905","831.32","1.585693","3.341099","9.56","0.214873","20.34","22.66","0.25258","43.974703","5.03","4.33","3.72","0.56","48.16","10.37","128.45","5.01","0.44","1.9","302.91","12.37","24.42","2.73","11.54","2.41","0.44","2.24","0.3","1.85","0.34","1.13","0.11","1.14","0.18","3.75","0.34","3.75","3.6","1.13"
"Iron-SI-P","MA-201421","Eisenberg","17.82","0.85","0.195733","0.760881","3.938739","44.47115","0.511402","1526.51","1.498174","3.331117","8.26","0.224183","21.43","24.61","0.242278","44.589048","12.7","17.05","7.84","4.71","43.09","9.91","120.49","4.91","0.22","1.95","293.11","12.58","24.95","2.99","9.44","2.41","0.57","2.02","0.33","1.36","0.36","0.81","0.12","1.03","0.17","3.55","0.26","3.55","3.36","1.25"
"Iron-SI-P","MA-201421","Eisenberg","27.35","1.28","0.351702","1.016398","5.911864","65.2928","0.366216","1130.44","3.278059","4.655525","12.47","0.301191","26.09","25.68","0.474389","18.123466","2.52","3.47","3.41","6.28","93.98","14.13","176.63","6.78","0.03","4.01","442.39","17.19","35.49","4.29","14.29","3.06","0.58","3.09","0.45","2.63","0.46","1.59","0.3","1.23","0.19","4.74","0.5","4.74","5.27","2.01"
"Iron-SI-P","MA-201421","Eisenberg","37.12","0.94","0.811385","1.389169","6.628565","67.717442","0.118152","2430.69","3.430636","5.683907","15.15","0.338075","32.67","32.85","0.582483","12.921832","22.89","40.68","15.58","35.27","82.78","13.74","169.06","6.63","0.09","3.41","481.95","19.01","37.82","4.73","16.15","3.25","0.58","2.84","0.47","2.42","0.52","2.29","0.18","1.81","0.3","4.1","0.54","4.1","6.1","2.08"
"Iron-SI-P","MA-201421","Eisenberg","41.07","1.03","0.913062","1.4922","7.048478","73.523339","0.145901","2217.36","3.828437","6.21699","15.59","0.395163","35.25","29.57","0.613758","5.465746","1.26","0.8","1.28","1.68","90.32","17.23","212.54","8.64","0.05","1.15","529.3","22.27","45.56","5.07","19.03","3.97","0.92","3.73","0.49","3.16","0.62","1.93","0.31","1.82","0.27","5.12","0.59","5.12","6.29","2.62"
"Iron-SI-P","MA-201421","Eisenberg","23.48","1.15","0.268831","0.903411","4.335181","47.217152","0.289389","1078.84","2.270705","3.760432","10.45","0.220796","22.61","25.27","0.4981","40.011586","68.4","122.02","44.97","59.79","59.18","8.23","105.26","5.34","0.21","5.03","330.2","11.9","26.12","2.28","10.19","2.19","0.41","3.16","0.14","1.29","0.29","1.12","0.2","0.85","0.18","2.87","0.28","2.87","3.36","1.8"
"Iron-SI-P","MA-201421","Eisenberg","29.52","1.29","0.336213","1.265132","5.780962","57.880982","0.282355","1399.81","2.681135","5.800109","12.37","0.313902","30.12","31.34","0.684149","24.70574","19.05","32.4","18.27","37.59","69.65","15.11","173.99","7.46","0.1","4.09","459.33","17.94","37.11","4.18","16.99","3.35","0.64","2.75","0.51","2.57","0.47","1.27","0.26","1.38","0.21","4.68","0.43","4.68","5.59","2.28"
"Iron-SI-P","MA-201421","Eisenberg","34.78","3.39","0.761605","1.284817","5.423673","40.157671","0.129405","0.01","4.06506","6.204667","20.39","0.297945","9.52","16.74","0.42178","41.090724","138.59","189.79","43.02","93.62","82.73","14.95","230.69","7.93","4.21","1.36","411.79","17.58","31.31","4.11","23.1","4.41","1.2","1.29","0.38","2.45","0.75","1.83","0.42","2.6","0.25","4.3","0.58","4.3","6.61","2.1"
"Iron-SI-P","MA-201421","Eisenberg","38.26","1.41","0.845225","1.500737","7.728438","74.482766","0.089952","1950.48","4.358399","7.110755","16.32","0.376012","13.08","5.05","0.529322","2.641061","2.9","6.04","1.28","0.58","103.11","19.65","256.51","8.93","0.04","0.21","578.49","24.25","46.82","5.31","22.38","5.19","1.0","2.83","0.53","2.86","0.72","2.03","0.3","2.58","0.28","6.92","0.75","6.92","6.89","2.7"
"Iron-SI-P","MA-201421","Eisenberg","45.61","0.61","1.258484","3.294783","7.378018","50.727119","0.037467","154.69","5.814694","14.652685","21.71","0.443633","18.09","13.99","1.025351","15.178904","39.54","58.07","16.52","18.73","74.88","17.55","228.12","14.39","0.93","1.48","773.16","29.66","38.23","5.49","35.27","9.71","1.07","3.57","0.59","4.35","0.75","5.22","0.52","4.68","0.36","4.38","1.02","4.38","5.83","2.37"
"Iron-SI-P","MA-201421","Eisenberg","26.44","1.7","0.476839","1.15979","5.42536","62.699207","0.063656","117.29","2.939465","4.869775","12.4","0.317004","12.48","2.8","0.41784","21.476698","92.05","144.92","35.8","51.14","69.59","16.06","204.19","8.93","1.48","1.32","418.16","18.61","38.74","4.67","19.61","4.17","0.53","3.05","0.44","3.02","0.65","1.98","0.14","1.68","0.25","5.01","0.64","5.01","6.26","2.25"
