;"Sample";"Material";"Spectrum";"Technique";"Na2O";"MgO";"Al2O3";"SiO2";"P2O5";"K2O";"CaO";"MnO";"FeO";"TiO2";"BaO";"Fe203"
154;"MA-201000";"Flow Slag";;"WDXRF";"0.28";"1.89";"5.73";"29.52";"0.3";"1.67";"3.02";"4.53";"51.468560000000004";"0.33";;"57.2"
155;"MA-201001";"Flow Slag";;"WDXRF";"0.33";"1.54";"6.36";"31.1";"0.32";"2.86";"3.51";"4.55";"47.50944";"0.32";;"52.8"
156;"MA-201002";"Flow Slag";;"WDXRF";"0.22";"1.86";"6.78";"36.72";"0.28";"1.88";"3.52";"4.41";"42.938456";"0.37";;"47.72"
157;"MA-201003";"Flow Slag";;"WDXRF";"0.24";"2.07";"6.19";"20.65";"0.27";"3.05";"2.44";"3.77";"59.16185";"0.31";;"65.75"
158;"MA-201004";"Flow Slag";;"WDXRF";"0.27";"0.69";"3.4";"24.35";"0.33";"0.89";"2.44";"1.28";"58.79293200000001";"0.2";;"65.34"
159;"MA-201005";"Flow Slag";;"WDXRF";"0.26";"1.56";"8.27";"31.39";"0.19";"4.03";"3.83";"3.94";"44.711062";"0.39";;"49.69"
160;"MA-201006";"Flow Slag";;"WDXRF";"0.59";"1.16";"3.63";"23.98";"0.36";"1.19";"5.1";"0.73";"59.97167000000001";"0.24";;"66.65"
161;"MA-201008";"Flow Slag";;"WDXRF";"0.41";"0.73";"3.85";"21.95";"0.43";"1.38";"1.97";"1.6";"65.86536000000001";"0.23";;"73.2"
162;"MA-201010";"Flow Slag";;"WDXRF";"0.38";"1.81";"8.03";"29.33";"0.27";"4.2";"3.39";"4.99";"45.952786";"0.43";;"51.07"
163;"MA-201011";"Flow Slag";;"WDXRF";"0.3";"1.4";"7.2";"24.4";"0.24";"3.18";"2.49";"3.53";"55.436678";"0.4";;"61.61"
164;"MA-201012";"Flow Slag";;"WDXRF";"0.33";"1.46";"8.62";"28.25";"0.56";"3.66";"2.0";"9.15";"44.522104";"0.34";;"49.48"
165;"MA-201429";"Ore";;"LA-ICP-MS";"0.05";"0.37";"2.65";"8.1";"2.31";"0.82";"0.21";"5.0";"71.89402000000001";"0.37";;"79.9"
166;"MA-201430";"Ore";;"LA-ICP-MS";"0.1";"0.51";"8.15";"21.1";"0.22";"2.62";"0.91";"3.1";"56.318482";"0.51";;"62.59"
167;"MA-201431";"Ore";;"LA-ICP-MS";"0.04";"0.24";"3.11";"8.4";"0.31";"0.85";"0.38";"1.08";"76.599974";"0.24";;"85.13"
168;"MA-201432";"Ore";;"LA-ICP-MS";"0.06";"0.28";"5.52";"13.4";"0.3";"1.49";"0.63";"1.11";"69.05965";"0.28";;"76.75"
169;"MA-201433";"Ore";;"LA-ICP-MS";"0.03";"0.21";"1.71";"30.0";"0.54";"0.26";"0.99";"0.02";"59.503774";"0.21";;"66.13"
170;"MA-201434";"Ore";;"LA-ICP-MS";"0.08";"0.65";"6.28";"17.4";"0.24";"1.85";"0.81";"8.3";"57.128302000000005";"0.65";;"63.49"
171;"MA-201535";"Ore";;"LA-ICP-MS";"0.15";"1.98";"4.6";"12.74";"1.6";"1.32";"0.7";"4.19";"64.803596";"1.98";;"72.02"
172;"MA-201912";"Ore";;"LA-ICP-MS";"0.04";"0.3";"4.9";"26.58";"0.2";"0.7";"0.14";"0.04";"59.64774200000001";"0.3";;"66.29"
173;"MA-201914";"Ore";;"LA-ICP-MS";"0.11";"0.34";"7.68";"46.72";"0.5";"2.19";"0.54";"0.95";"36.099976";"0.34";;"40.12"
