"Material","Measurement","Key","Sample","SubSample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Pb","Th","U","SiO2 (%)","Na2O (%)","MgO (%)","Al2O3 (%)","P2O5 (%)","MnO (%)","CaO (%)","TiO2 (%)","K2O (%)","Fe2O3 (%)"
"Bloom","Unique",35,"MA-200988-2B","2b-3",26.8,14.5,1603.5,8408.7,76883.2,232094,10070.6,231,31297.4,42085.8,8.4,2204.8,31.3,11.4,67428,521699,0.4,2.3,2.5,12.9,7,0.4,124.8,297.7,54.6,82.7,7.5,1.4,1.1,10.2,5073,25.3,53.1,6.3,28.1,8,2.4,10.6,1.7,9.9,2,5.8,0.7,4.9,0.6,2.3,0.5,1.1,0.5,6.8,13.3,23.2,0.16,0.84,7.7,1.01,6.7,4.21,0.22,3.13,52.17
"Bloom","Unique",36,"MA-200988-2B","2b-3",25.6,9.1,902.8,11108.2,73765.4,248651,8233.4,219.2,13511.8,30846.2,8.9,2256.7,42.3,15.5,85381.4,521699,0.5,0,1.3,18.1,8.7,0.2,64.8,179.9,41.7,59.7,4.9,1.8,0.6,5.6,2776.9,15.6,34.2,4.1,16.9,4.7,1.3,7.1,1.2,7.2,1.5,4.1,0.6,3.8,0.6,1.7,0.4,0.7,0.3,4.5,8.6,24.9,0.09,1.11,7.4,0.82,8.5,3.08,0.23,1.35,52.17
"Bloom","Unique",37,"MA-200988-2B","2b-4",26.6,15.7,345.1,3208.3,87821.2,203900,10167.7,201.9,35194.2,43403.6,7,2684.4,56,26,48420.2,557965,0.3,0.2,2.6,14.9,8.1,0,146.4,325.7,59.1,88.3,7.7,1.2,1.1,12.1,5650.8,28.4,59.3,7.2,30.8,8.5,2.4,12.2,1.9,10.5,2.1,5.5,0.7,4.3,0.5,2.3,0.6,1,0.5,7.4,13.5,20.4,0.03,0.32,8.8,1.02,4.8,4.34,0.27,3.52,55.8
"Bloom","Unique",38,"MA-200988-2B","2b-4",27.3,13.6,1558.7,4557.9,79581.6,214615,9674.9,258.8,26311.3,40798.9,6.5,1703.4,19.9,6.7,57737.1,557965,6.9,5.4,16.6,14.4,7.8,2.9,106.4,282.2,48.7,72.5,6.9,2.9,1.3,8.7,4372.8,22.5,48.7,5.9,26,6.9,2,9.3,1.5,9,1.9,5.1,0.7,4.1,0.5,2,0.5,1,0.4,6.1,11.8,21.5,0.16,0.46,8,0.97,5.8,4.08,0.17,2.63,55.8
"Bloom","Unique",39,"MA-200988-2B","2b-5",14,1.4,121.2,19891.8,50445.3,238358,3428.3,225.3,2068.4,13789.8,10.6,1804.7,101.1,82.7,107205.2,561854,2.7,0.2,1.6,18.3,7.1,0,9.9,26.3,18.2,19.5,1,1.9,0.1,0.9,429.8,2.6,5.5,0.6,3,1,0.2,1.7,0.3,2.5,0.6,2.1,0.4,2.8,0.5,0.7,0.1,0.1,0,0.8,1.4,23.8,0.01,1.99,5,0.34,10.7,1.38,0.18,0.21,56.19
"Bloom","Unique",40,"MA-200988-2B","2b-5",22.6,6.5,568.1,14873.1,35380.4,250079,5394.1,344,11769.7,21861.1,10.3,1268.5,30.6,24.2,94402.5,561854,67.3,10.3,16,13.8,4.7,0.3,46.5,102.6,32.6,41.8,3.5,1.7,0.6,4,1630.7,9.8,22.1,2.6,11.6,3.2,0.9,4.9,0.9,5.6,1.2,3.7,0.5,3.8,0.6,1.1,0.3,0.4,0.3,2.9,6,25,0.06,1.49,3.5,0.54,9.4,2.19,0.13,1.18,56.19
"Bloom","Unique",41,"MA-200988-2B","2b-5",19.1,5.2,412.6,9876,68443.1,225062,5761.9,211.1,14011.4,24095.8,9.1,2555.9,89.1,47.8,85421.8,561854,1.9,0.2,2.1,18.7,8.8,0,57,110.3,29.7,43.8,3.2,1.8,0.4,4.3,1721.4,11,23.4,2.8,11.8,3.1,0.9,5,0.8,5.1,1.1,3.2,0.5,3.2,0.5,1.3,0.3,0.5,0.2,2.9,5.7,22.5,0.04,0.99,6.8,0.58,8.5,2.41,0.26,1.4,56.19
"Bloom","Average",42,"MA-200988-1A","1A-1",23.2,12.7,1045.6,12287.5,66229.1,257815.9,11760.5,410.4,22604.6,34035.2,11,2015.1,51,40.2,89800.2,497703,1.9,0.2,2,15.7,7.1,0.3,87.7,240.7,52.3,82.4,6.5,1.8,0.9,6.9,3453,19.9,38.4,5.1,23.2,6,1.6,9.4,1.5,9.7,2,5.5,0.7,4.7,0.7,2.3,0.5,0.7,0.3,6,10.5,25.8,0.1,1.2,6.6,1.2,9,3.4,0.2,2.3,49.77
"Bloom","Average",43,"MA-200988-1A","1A-2",22.9,11.8,1030.1,11728.1,75707.7,231603.2,9193.6,532.1,18296.1,34662.2,10.3,2155.4,51.7,32.5,82733.9,528197,1.3,0.1,2,17.7,7.2,0.2,78,225.8,50.6,76.4,5.8,1.7,0.8,6.4,3369,19.9,36,4.8,22.7,6.2,1.7,9.3,1.5,9.6,2,5.4,0.8,4.8,0.7,2.3,0.5,0.7,0.3,6,9,23.2,0.1,1.2,7.6,0.9,8.3,3.5,0.2,1.8,52.82
"Bloom","Average",44,"MA-200988-1A","1A-3",20.9,10.4,945.5,11281.3,58727.1,264695,9516.3,492.8,21043.2,32968.3,11.7,2191.1,44.1,18.6,88293.5,506243,0.8,0.1,1.9,16.7,7.2,0,84.8,216.5,57.8,79.4,5.5,1.8,0.8,5.9,2831.2,19,36,5,21.3,5.5,1.5,9.3,1.6,10.3,2.1,6,0.8,5.5,0.9,2.3,0.5,0.7,0.3,5.8,9.3,26.5,0.1,1.1,5.9,1,8.8,3.3,0.2,2.1,50.62
