Sample;Material;Spectrum;Na2O;MgO;Al2O3;SiO2;P2O5;K2O;CaO;MnO;FeO;TiO2;BaO
MA-201425;Iron-SI-P;MA-201424_ 41;0.11;0.34;3.97;11.63;7.67;1.71;2.75;0.72;69.54;0.19;0.01
MA-201426;Iron-SI-P;MA-201426_ 1;0.06;0.1;2.92;20.98;4.08;1.44;5.35;1.12;63.61;0.31;0.03
MA-201426;Iron-SI-P;MA-201426_ 3;0.16;0.12;3.49;20.98;2.29;1.74;6.17;0.87;63.09;0.19;0.01
MA-201426;Iron-SI-P;MA-201426_ 4;0.05;0.35;2.18;20.43;6.14;0.91;4.42;0.93;64.19;0.11;0.01
MA-201426;Iron-SI-P;MA-201426_ 7;0.1;0.1;2.11;18.77;1.56;0.86;3.0;0.72;72.51;0.01;0.23
MA-201426;Iron-SI-P;MA-201426_ 8;0.54;0.56;2.47;21.71;2.33;1.21;5.82;0.82;64.39;0.14;0.01
MA-201426;Iron-SI-P;MA-201426_ 10;0.05;0.5;3.03;20.83;6.6;1.46;5.08;0.93;61.21;0.13;0.01
MA-201426;Iron-SI-P;MA-201426_ 11;0.05;0.31;2.85;19.75;1.52;1.0;4.45;0.75;69.16;0.14;0.01
MA-201426;Iron-SI-P;MA-201426_ 12;0.04;0.22;2.14;17.74;2.17;0.63;2.87;0.79;73.23;0.16;0.03
MA-201426;Iron-SI-P;MA-201426_ 14;0.07;0.18;1.71;20.87;3.75;1.03;3.78;1.13;67.32;0.06;0.1
MA-201426;Iron-SI-P;MA-201426_ 15;0.07;0.02;2.25;20.43;5.02;1.31;5.13;0.91;64.6;0.2;0.05
MA-201426;Iron-SI-P;MA-201426_ 16;0.04;0.28;3.26;24.22;2.27;1.24;5.03;0.78;62.72;0.15;0.01
MA-201427;Iron-SI-P;MA-201427_ 3;0.27;0.43;4.36;29.57;2.19;1.56;1.68;0.06;59.4;0.42;0.05
MA-201427;Iron-SI-P;MA-201427_ 5;0.43;0.32;3.13;22.28;2.42;1.09;1.62;0.22;68.21;0.22;0.06
MA-201427;Iron-SI-P;MA-201427_ 6;0.15;0.3;4.21;15.56;2.44;0.68;1.4;0.4;74.7;0.16;0.01
MA-201427;Iron-SI-P;MA-201427_ 8;0.86;1.16;4.41;21.53;2.73;0.8;5.52;0.11;62.33;0.14;0.01
MA-201427;Iron-SI-P;MA-201427_ 9;0.26;0.38;4.08;18.85;3.73;1.46;2.72;0.19;68.14;0.19;0.01
MA-201427;Iron-SI-P;MA-201427_ 10;0.05;0.17;3.05;17.29;2.42;0.96;1.94;0.11;73.8;0.22;0.01
MA-201427;Iron-SI-P;MA-201427_ 11;0.12;0.16;3.28;16.1;2.31;0.65;1.88;0.34;74.96;0.21;0.01
MA-201427;Iron-SI-P;MA-201427_ 12;0.08;0.27;3.48;21.12;2.86;0.45;0.77;0.24;70.54;0.19;0.01
MA-201427;Iron-SI-P;MA-201427_ 15;0.09;0.36;1.21;19.31;1.43;0.38;1.07;0.2;75.9;0.05;0.01
MA-201427;Iron-SI-P;MA-201427_ 16;0.33;0.43;4.55;24.28;2.14;0.98;1.59;0.8;64.7;0.19;0.01
MA-201427;Iron-SI-P;MA-201427_ 17;0.53;0.59;6.01;29.4;1.63;1.36;1.6;0.16;58.16;0.4;0.17
MA-201427;Iron-SI-P;MA-201427_ 18;0.2;0.22;3.41;16.82;2.14;1.01;2.14;0.57;73.36;0.12;0.01
