Material,x,y,slope,intercept,R2
Smithing Slag,SiO2,K2O,0.12218575979557365,-0.9519551088229938,0.7933609163328964
Bloom,SiO2,K2O,0.16512547240231645,-1.487290706348201,0.6302231490762755
Iron-SI,SiO2,K2O,0.05307514918210536,-0.13509700284605186,0.8776018346643415
Iron-SI-P,SiO2,K2O,0.044954938562243946,0.4581499356780838,0.44154920494593974
Oven Slag,SiO2,CaO,0.027617871279015906,1.968161023544311,0.028908428958429624
Flow Slag,SiO2,CaO,0.06687256907250418,1.2586288319372398,0.10925770987727246
Plate Slag,SiO2,CaO,0.09629582921601729,-0.30508230991144636,0.5052558911486829
Smithing Slag,SiO2,CaO,0.05540675702549948,1.1327377302300914,0.19405053952834353
Bloom,SiO2,CaO,0.18636984335298584,-0.30420425837760234,0.49639692782596123
Iron-SI,SiO2,CaO,0.14940346713343616,-0.5714348483479883,0.8725114631980934
Iron-SI-P,SiO2,CaO,0.04766607288950163,2.0741253363609573,0.1955370607259295
Oven Slag,SiO2,FeO,-1.5750404724507567,98.32835021079886,0.69981082221904
Flow Slag,SiO2,FeO,-1.5210353585035155,96.14980669112376,0.7136629119932371
Plate Slag,SiO2,FeO,-2.043691844020863,110.33928694280691,0.9176295593346615
Smithing Slag,SiO2,FeO,-1.7562153317111573,103.89417025712768,0.9732082044376182
Bloom,SiO2,FeO,-1.9477285527133057,97.0544642216946,0.9309348108154856
Iron-SI,SiO2,FeO,-1.4325633839111234,98.80623522829914,0.9937207881563841
Iron-SI-P,SiO2,FeO,-1.1956150308807167,90.0375605348452,0.9058813276313926
Oven Slag,SiO2,P2O5,0.006343439352414363,0.2092190865053076,0.032319453460293
Flow Slag,SiO2,P2O5,-0.004995241332205391,0.46953654802235845,0.05279188806994065
Plate Slag,SiO2,P2O5,0.016940637997422882,-0.16041810521740452,0.46393086513444814
Smithing Slag,SiO2,P2O5,-0.0051293381085787595,0.3582707079824454,0.41882169596185065
Bloom,SiO2,P2O5,0.09703410870000534,-1.3476673412185909,0.17152333398840655
Iron-SI,SiO2,P2O5,-0.043021922348004366,2.672271629491197,0.50334119146323
Iron-SI-P,SiO2,P2O5,-0.10557517380557371,5.576224062782911,0.45592302266667717
Oven Slag,K2O,CaO,0.6925864304021576,1.243111402623026,0.8977139161514482
Flow Slag,K2O,CaO,-0.08160143625851281,3.3410900271332804,0.010400769249348334
Plate Slag,K2O,CaO,0.6813906244493504,0.6854308773450846,0.7794962845382207
Smithing Slag,K2O,CaO,0.012944182655228353,2.0914558680093376,0.00019930080025140127
Bloom,K2O,CaO,1.073324827029899,1.5238716892784288,0.7123180503279247
Iron-SI,K2O,CaO,2.386580184012894,0.5112175985254335,0.7146391009654712
Iron-SI-P,K2O,CaO,0.7339322212802524,2.148386807337799,0.2121768298154158
Oven Slag,K2O,FeO,-5.976710659787567,69.8286871050093,0.497585360444548
Flow Slag,K2O,FeO,-4.56859280598703,65.40716252384303,0.41161689237017324
Plate Slag,K2O,FeO,-10.515071544639161,80.39946390927706,0.7484905924184345
Smithing Slag,K2O,FeO,-12.239797347985439,87.65884176851168,0.8895473566227793
Bloom,K2O,FeO,-8.353636494156037,70.21567863113575,0.7408791103680393
Iron-SI,K2O,FeO,-24.002271465764196,90.25896966562217,0.895418975145884
Iron-SI-P,K2O,FeO,-15.279575499246322,82.8043761986368,0.6771530872033648
Oven Slag,K2O,P2O5,-0.006353445931353592,0.387396997925072,0.0016009545891967124
Flow Slag,K2O,P2O5,-0.02055195437470576,0.3829302387541621,0.05713132252117378
Plate Slag,K2O,P2O5,0.06556753246320701,0.13656259627835027,0.21413947484928006
Smithing Slag,K2O,P2O5,-0.017707902657697006,0.2892686073825745,0.09393147762576239
Bloom,K2O,P2O5,0.4532999237959187,-0.11086011393478246,0.1619494414341804
Iron-SI,K2O,P2O5,-0.6847517525903484,2.3564418233972484,0.40929277489145166
Iron-SI-P,K2O,P2O5,-0.5446958070250503,3.5570086852187117,0.055545858985383195
Oven Slag,CaO,FeO,-7.720884511282318,78.11525725387231,0.44369776693632673
Flow Slag,CaO,FeO,-1.5012254596360293,58.28485649354102,0.02845445507325284
Plate Slag,CaO,FeO,-13.194749900875355,85.99870031025884,0.7020086535781105
Smithing Slag,CaO,FeO,-4.870560655531544,83.27701749537931,0.11841828141471444
Bloom,CaO,FeO,-6.227795828374448,75.1979489813627,0.6659679614381848
Iron-SI,CaO,FeO,-8.501382352227356,88.51694941392626,0.8952946537367781
Iron-SI-P,CaO,FeO,-6.057848374512181,77.22928204253063,0.2702184734493251
Oven Slag,CaO,P2O5,0.018946601353565577,0.3232625475395024,0.007607342516941457
Flow Slag,CaO,P2O5,-0.03962932793510271,0.45379060157472423,0.13599770582780996
